id,codigo,tipo,municipio,estado,coordenada_e,coordenada_n,altitude,latitude,longitude,data_levantamento,metodo,precisao_horizontal,precisao_vertical,observacoes,status,criado_em,atualizado_em
124,FHV-P-7111,P,Pauli,PR,650957.8068,7190733.284,980641,-25.392581170771113,-49.49933637477615,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
125,FHV-P-7112,P,Pauli,PR,650893.0771,7190841.373,979359,-25.39161195992825,-49.4999917368299,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
126,FHV-P-7113,P,Pauli,PR,650834.0506,7190937.127,979671,-25.390753522036956,-49.50058903332186,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
127,FHV-P-7114,P,Pauli,PR,650804.4115,7190985.657,978251,-25.390318419785007,-49.50088900185052,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
128,FHV-P-7115,P,Pauli,PR,650781.4404,7191038.825,977358,-25.38984077184641,-49.501123218504006,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
129,FHV-P-7116,P,Pauli,PR,650773.8479,7191076.745,969874,-25.38949921752926,-49.501202900812,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
130,FHV-P-7117,P,Pauli,PR,650772.7186,7191125.03,965950,-25.389063438404484,-49.50121950708601,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
131,FHV-P-7118,P,Pauli,PR,650873.5207,7191123.282,972.02,-25.3890690063799,-49.50021754443891,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
132,FHV-P-7119,P,Pauli,PR,651092.8544,7191113.96,968413,-25.389130916795523,-49.49803677413391,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
133,FHV-P-7120,P,Pauli,PR,651285.7365,7191200.944,964932,-25.388326081245214,-49.49612965152194,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
134,FHV-P-7121,P,Pauli,PR,651238.4222,7191199.801,965984,-25.38834120680256,-49.4965997277414,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
135,FHV-P-7122,P,Pauli,PR,651128.0664,7191202.833,966247,-25.388325041731832,-49.49769677029172,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
136,FHV-P-7123,P,Pauli,PR,651099.2849,7191219.078,966451,-25.38818131130012,-49.49798461267325,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
137,FHV-P-7124,P,Pauli,PR,651088.7315,7191221.281,967267,-25.388162494739863,-49.4980897372077,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
138,FHV-P-7126,P,Pauli,PR,650780.8132,7191759.721,957845,-25.383332934644013,-49.501209817014434,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
139,FHV-P-7127,P,Pauli,PR,650774.4354,7191723.095,959864,-25.383664222391978,-49.50126911417019,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
140,FHV-P-7128,P,Pauli,PR,650767.4719,7191683.903,957964,-25.384018734035404,-49.5013339460329,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
